Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
15,4,sodhi,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slow,
14,6,santner,kohli,4,4,Full,,,Long-on,,,,
14,3,santner,kohli,1,1,Length,Leg-stump,,Midwicket,,,,
14,2,santner,kohli,6,6,Full,Outside-off,,Extra-cover,,,,
13,6,sodhi,kohli,2,2,,,Cut,Cover,,,,
13,5,sodhi,kohli,â€¢,0,,,,,,Googly,,
13,3,sodhi,kohli,1,1,,,,Short-fine-leg,,,,
13,2,sodhi,kohli,â€¢,0,,Outside-off,,Extra-cover,,,Slower,
13,1,sodhi,kohli,4,4,,,,Short-fine-leg,,,,
12,6,de grandhomme,kohli,1,1,Full,Outside-off,,Long-on,,,,
12,4,de grandhomme,kohli,1,1,Length,Outside-off,,Short-third-man,,,,
12,3,de grandhomme,kohli,2,2,Full,,Drive,Cover,,,,Stop
12,1,de grandhomme,kohli,1lb,0,,,,Square-leg,,,Slower,
11,6,sodhi,kohli,1,1,,Outside-off,Drive,Long-off,,,,
11,5,sodhi,kohli,â€¢,0,Short,Outside-off,,Extra-cover,,,,Throw
11,4,sodhi,kohli,â€¢,0,Length,Leg-stump,,Cover,,,,
11,1,sodhi,kohli,1,1,,Leg-stump,,Long-on,,,,
13,4,chase,kohli,W,0,,Middle-stump,,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,Cut,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,,,,,,
13,3,chase,kohli,1w,1,,,Cut,Leg-side,,,,Bowled
13,3,chase,kohli,1w,1,,,,Leg-side,,,,
13,2,chase,kohli,6,6,,,,Long-on,,,,
12,6,smith,kohli,â€¢,0,Short,,,,,,,
12,5,smith,kohli,â€¢,0,Short,Outside-off,,Point,,,,
12,5,smith,kohli,â€¢,0,,,,Slip,,,,
12,5,smith,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
12,5,smith,kohli,1w,1,,,,Leg-side,,,,
12,3,smith,kohli,1,1,Short,,,Deep-square,,,,
12,3,smith,kohli,1,1,Short,,,Slip,,,,
12,3,smith,kohli,1w,1,,,,Leg-side,,,,
12,2,smith,kohli,4,4,,,,Third-man,,,Pace,
12,1,smith,kohli,2,2,Short,,,Leg-side,,,,
11,5,chase,kohli,1lb,0,Length,Outside-off,,,,,,
11,4,chase,kohli,â€¢,0,Short,,,,,,,
11,2,chase,kohli,1,1,Full,,,Short-fine-leg,,,,
11,1,chase,kohli,â€¢,0,Yorker,,,Off-side,,,,
10,4,holder,kohli,1,1,,,Pull,Slip,,,Slower,
10,1,holder,kohli,1,1,Length,,,Long-on,,,,
9,4,chase,kohli,1,1,,,,Short-third-man,,,Pace,
9,3,chase,kohli,â€¢,0,Full,Outside-off,,Extra-cover,,,,
9,1,chase,kohli,1,1,Full,,,Long-on,,,,
8,5,hosein,kohli,1,1,Short,,,Long-on,,,,
8,1,hosein,kohli,1,1,Length,,,Leg-side,,,,
7,6,chase,kohli,1,1,,,,Long-on,,,,
7,4,chase,kohli,1,1,,,,Leg-side,,,,
7,3,chase,kohli,â€¢,0,Short,,,,,,,
7,1,chase,kohli,1,1,Short,Outside-off,,Midwicket,,,,
6,5,hosein,kohli,1,1,,,,Point,,,,Misfield
6,3,hosein,kohli,1,1,Length,Outside-off,,Off-side,,,,
6,2,hosein,kohli,â€¢,0,Length,Outside-off,Cut,Point,,,,
6,1,hosein,kohli,4,4,Short,Outside-off,,Extra-cover,,,,
5,5,shepherd,kohli,1,1,Full,Outside-off,,Mid-off,,,,
5,4,shepherd,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
5,3,shepherd,kohli,4,4,Short,Outside-off,Drive,Extra-cover,,,,
5,2,shepherd,kohli,4,4,,,,Mid-on,,,,
5,1,shepherd,kohli,â€¢,0,Full,Outside-off,,,Outside-edge,,,
4,4,holder,kohli,1,1,Length,Outside-off,,Leg-side,Inside-edge,,,
4,2,holder,kohli,1,1,Length,,,Deep-square-leg,,,,
4,1,holder,kohli,4,4,Short,,,Cover,,,,
2,6,hosein,kohli,4,4,Full,Leg-stump,,Long-leg,,,,
2,5,hosein,kohli,â€¢,0,,,,Midwicket,,,,
2,4,hosein,kohli,â€¢,0,,,,,Outside-edge,,Slower,
2,3,hosein,kohli,â€¢,0,,,,Off-side,,,,
2,2,hosein,kohli,4,4,Good,,,Short-leg,,,Pace,
2,1,hosein,kohli,â€¢,0,,,,Mid-on,,Slider,,
14,5,jordan,kohli,W,0,Full,,,,,,,Catch
14,1,jordan,kohli,1,1,Short,,Pull,Midwicket,,,Slower,
14,1,jordan,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slower,
14,1,jordan,kohli,1w,1,Full,Outside-off,,,,,Slower,
14,1,jordan,kohli,1w,1,Full,Outside-off,,,,,,
13,5,plunkett,kohli,1,1,Full,Outside-off,,Long-on,,,,
13,3,plunkett,kohli,1,1,Short,Outside-off,,Midwicket,,,,
13,2,plunkett,kohli,6,6,Full,Outside-off,Drive,Extra-cover,,,,
13,1,plunkett,kohli,â€¢,0,,,,Cover,,,,
12,4,jordan,kohli,1,1,Full,,,Long-on,,,,
12,2,jordan,kohli,1,1,,,,Midwicket,,,Slower,
11,5,rashid,kohli,1,1,,Leg-stump,,,,Googly,,
11,4,rashid,kohli,â€¢,0,,,,Midwicket,,,,
11,3,rashid,kohli,6,6,,Outside-off,,Long-on,,,,
11,2,rashid,kohli,â€¢,0,,,,Cover,,,,
10,3,plunkett,kohli,1,1,Short,,,Deep-square,,,Pace,
10,2,plunkett,kohli,2,2,Short,,Pull,Deep-square,,,,
10,1,plunkett,kohli,2,2,Full,,,Long-leg,Inside-edge,,Slower,
9,3,rashid,kohli,1,1,,,,Midwicket,,,,
9,2,rashid,kohli,2,2,Full,,,Long-off,,,,
9,1,rashid,kohli,4,4,Short,,Square-cut,Backward-point,,,,
8,6,stokes,kohli,1,1,Full,,,Midwicket,,,,
8,4,stokes,kohli,1,1,Good,,,Fine-leg,,,,
8,1,stokes,kohli,1,1,Full,Outside-off,,Third-man,,,,
7,6,rashid,kohli,1,1,Length,Outside-off,,Deep-cover,,,,
7,3,rashid,kohli,1,1,Short,,,Cover,,,,
6,6,stokes,kohli,â€¢,0,Good,Middle-stump,,Midwicket,,,,
6,2,stokes,kohli,1,1,,,Cover-drive,Deep-cover,,,,
6,1,stokes,kohli,â€¢,0,Full,Outside-off,Square-drive,Backward-point,,,,Stop
5,6,ball,kohli,1,1,Short,Outside-off,,Third-man,,,,
5,5,ball,kohli,4,4,,Outside-off,,Midwicket,,,,Misfield
5,4,ball,kohli,2,2,Good,Outside-off,,Third-man,,,,
18,5,bennett,kohli,W,0,,Outside-off,Drive,Extra-cover,,,Slower,Catch
18,4,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
18,3,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
17,5,southee,kohli,1,1,Good,Leg-stump,,Short-fine-leg,,,,
17,4,southee,kohli,2,2,,,,Deep-square-leg,,,,Stop
17,2,southee,kohli,1,1,,,,Off-side,,,,
17,1,southee,kohli,2,2,Good,,,Backward-square-leg,,,,
16,5,santner,kohli,1,1,,Leg-stump,,Square-leg,,,,
16,1,santner,kohli,1,1,Good,,,Long-on,,,,
15,6,sodhi,kohli,1,1,Full,Outside-off,,Long-on,,,,
15,4,sodhi,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slow,
14,6,santner,kohli,4,4,Full,,,Long-on,,,,
14,3,santner,kohli,1,1,Length,Leg-stump,,Midwicket,,,,
14,2,santner,kohli,6,6,Full,Outside-off,,Extra-cover,,,,
13,6,sodhi,kohli,2,2,,,Cut,Cover,,,,
13,5,sodhi,kohli,â€¢,0,,,,,,Googly,,
13,3,sodhi,kohli,1,1,,,,Short-fine-leg,,,,
13,2,sodhi,kohli,â€¢,0,,Outside-off,,Extra-cover,,,Slower,
13,1,sodhi,kohli,4,4,,,,Short-fine-leg,,,,
12,6,de grandhomme,kohli,1,1,Full,Outside-off,,Long-on,,,,
12,4,de grandhomme,kohli,1,1,Length,Outside-off,,Short-third-man,,,,
12,3,de grandhomme,kohli,2,2,Full,,Drive,Cover,,,,Stop
12,1,de grandhomme,kohli,1lb,0,,,,Square-leg,,,Slower,
11,6,sodhi,kohli,1,1,,Outside-off,Drive,Long-off,,,,
11,5,sodhi,kohli,â€¢,0,Short,Outside-off,,Extra-cover,,,,Throw
11,4,sodhi,kohli,â€¢,0,Length,Leg-stump,,Cover,,,,
11,1,sodhi,kohli,1,1,,Leg-stump,,Long-on,,,,
16,3,santner,kohli,W,0,,,,Long-on,Thick-edge,,,
15,3,sodhi,kohli,1,1,,Outside-off,,Cover,,,,
15,1,sodhi,kohli,1,1,Good,,,Long-off,,,,
14,6,milne,kohli,1,1,Yorker,Leg-stump,,Third-man,,,,Bowled
14,5,milne,kohli,4,4,Good,Outside-off,Drive,Long-off,,,,Dive
14,4,milne,kohli,â€¢,0,,,,,,,Slower,
12,5,munro,kohli,1,1,Short,,,Midwicket,,,Pace,
12,4,munro,kohli,2,2,Length,,Pull,Midwicket,,,Slower,
12,3,munro,kohli,4,4,Yorker,,,Midwicket,,,,
12,1,munro,kohli,1,1,Good,,,Short-third-man,,,,
11,6,santner,kohli,1,1,Full,,,Cover,,,,
11,5,santner,kohli,4,4,Good,Leg-stump,,,,,,
11,3,santner,kohli,1,1,Good,Leg-stump,,Midwicket,,,,
11,2,santner,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
10,6,munro,kohli,4,4,Length,,,Long-on,,,,
10,3,munro,kohli,1,1,Good,Outside-off,,Backward-point,,,Pace,Dive
10,1,munro,kohli,1,1,,,,Midwicket,,,Slower,
9,6,sodhi,kohli,1,1,Short,,,Long-on,,,,
9,5,sodhi,kohli,â€¢,0,,,,Short-third-man,,,,
9,3,sodhi,kohli,1,1,,Outside-off,,Long-off,,,,
8,5,munro,kohli,1,1,Full,Outside-off,Drive,Cover,,,,
8,2,munro,kohli,1,1,Good,Outside-off,,Deep-cover,,,,
8,1,munro,kohli,2,2,Good,Outside-off,,Extra-cover,,,,
7,6,santner,kohli,1,1,Good,,,Long-on,,,,
7,5,santner,kohli,6,6,,Leg-stump,,Long-on,,,,
7,3,santner,kohli,1,1,,,Sweep,,Inside-edge,,,
7,2,santner,kohli,4,4,Length,,Drive,Cover,,,,
7,1,santner,kohli,4,4,Full,,,Point,,,,
6,6,sodhi,kohli,1,1,,Leg-stump,,Midwicket,,,,
6,3,sodhi,kohli,1,1,,,,Long-on,,,,Misfield
6,1,sodhi,kohli,1,1,Short,Leg-stump,,Midwicket,,,,
5,6,santner,kohli,1,1,Full,Leg-stump,,Long-off,,,,
5,5,santner,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
5,1,santner,kohli,1,1,Full,Leg-stump,Drive,Cover,,,,
4,3,milne,kohli,1,1,Short,Outside-off,,Third-man,,,,
4,2,milne,kohli,â€¢,0,Full,Outside-off,,Cover,,,,
3,6,boult,kohli,4,4,Full,,,Cover,,,,
3,3,boult,kohli,1,1,,,Hook,Square-leg,Top-edge,,,Catch
3,2,boult,kohli,â€¢,0,Good,Outside-off,,Cover,,,,Throw
3,1,boult,kohli,4,4,,,,Mid-on,,,,
2,4,de grandhomme,kohli,1,1,,Outside-off,,Third-man,,,,
2,3,de grandhomme,kohli,â€¢,0,,,,Midwicket,,,Pace,
10,5,zampa,kohli,W,0,Length,,,Short-third-man,Outside-edge,,,Catch
10,4,zampa,kohli,â€¢,0,Length,Outside-off,Sweep,Midwicket,,,,
9,6,stoinis,kohli,2,2,Short,Outside-off,,Third-man,Outside-edge,,Pace,
9,6,stoinis,kohli,2,2,Short,Outside-off,,Third-man,,,Pace,
9,6,stoinis,kohli,1w,1,Short,,,Third-man,Outside-edge,,,
9,6,stoinis,kohli,1w,1,Short,,,,,,,
9,4,stoinis,kohli,1lb,0,Short,,Pull-shot,,,,,
9,1,stoinis,kohli,1,1,Length,Middle-stump,,Deep-square,,,,
8,5,zampa,kohli,1,1,Length,Middle-stump,,Long-on,,,,
8,4,zampa,kohli,â€¢,0,Length,,,,,,,
8,3,zampa,kohli,â€¢,0,Full,Leg-stump,,Midwicket,,,,
19,6,archer,kohli,1,1,Short,,Hook,,Top-edge,,Slow,
19,5,archer,kohli,4,4,Good,,,Cover,,,Slower,
19,4,archer,kohli,2,2,Full,Middle-stump,,Long-on,,,,
19,3,archer,kohli,4,4,Good,Outside-off,,Deep-square-leg,,Leg-cutter,,
19,1,archer,kohli,1,1,Full,Middle-stump,,Long-on,,,,
18,6,jordan,kohli,1,1,Yorker,,,Extra-cover,,,,
18,5,jordan,kohli,4,4,Yorker,Outside-off,,Point,,,,
18,4,jordan,kohli,â€¢,0,Good,Outside-off,,,,,,
17,6,wood,kohli,2,2,Yorker,Leg-stump,,Midwicket,,,,
17,5,wood,kohli,4,4,Short,,Pull,Fine-leg,,,Slow,
17,4,wood,kohli,4,4,Short,,,Fine-leg,,,Slower,
17,3,wood,kohli,â€¢,0,Good,Outside-off,Reverse-sweep,,,,Slower,
17,1,wood,kohli,1,1,Short,,,Deep-square-leg,,,Pace,
16,5,jordan,kohli,1,1,Full,Outside-off,,Long-off,,,,
16,1,jordan,kohli,1lb,0,Good,,,Leg-side,,,,
15,3,wood,kohli,1,1,Good,,,Midwicket,,,Slower,
15,2,wood,kohli,2,2,Short,,,Square-leg,,,Slower,
15,1,wood,kohli,2,2,Short,,,Leg-side,,,Slower,
14,5,archer,kohli,3,3,Short,Outside-off,Cut,Cover,,,Slower,Slide
14,3,archer,kohli,1,1,Length,Outside-off,,Long-off,,,Slower,
14,1,archer,kohli,1,1,Short,,Hook,Fine-leg,,,Slower,
13,5,rashid,kohli,1,1,,Outside-off,Drive,Long-on,,,,
13,3,rashid,kohli,1,1,Short,,,Midwicket,,Wrong'un,,
13,1,rashid,kohli,1,1,Good,,,Midwicket,,,,
12,4,stokes,kohli,1,1,Full,Leg-stump,,Deep-square-leg,,,,
12,2,stokes,kohli,1,1,Full,Leg-stump,Sweep,Deep-square-leg,,,Slower,
12,1,stokes,kohli,6,6,Length,Outside-off,,Long-on,,,Slower,
11,2,jordan,kohli,1,1,Good,Outside-off,,Short-third-man,,,Slower,
11,1,jordan,kohli,4,4,Full,Outside-off,,Midwicket,,,Slower,Bowled
10,4,stokes,kohli,1,1,Full,,,Long-off,,,,
9,3,rashid,kohli,1,1,,,,Short-third-man,Inside-edge,Wrong'un,,
9,1,rashid,kohli,1,1,,Leg-stump,,Deep-square-leg,,,,
8,5,stokes,kohli,1,1,,Outside-off,,Long-on,,,Slower,
8,1,stokes,kohli,1,1,,,,Square-leg,,,,
7,4,sam curran,kohli,1,1,Short,Outside-off,Pull,Square-leg,,,Slower,
7,1,sam curran,kohli,1,1,Short,,,Midwicket,,,,
6,5,jordan,kohli,1,1,Full,Outside-off,,Long-on,,,Slower,
5,3,wood,kohli,1,1,,Outside-off,,,,,,
5,3,wood,kohli,1,1,Good,Outside-off,,Leg-side,,,,
5,3,wood,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
5,3,wood,kohli,1w,1,Short,,,Leg-side,,,,
5,2,wood,kohli,6,6,Short,,,Long-leg,,,,
4,6,archer,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
4,4,archer,kohli,1,1,Good,Outside-off,,Cover,,,,
4,4,archer,kohli,1,1,Good,,Pull,,,,,
4,4,archer,kohli,5w,5,Good,Outside-off,,Cover,,,,
4,4,archer,kohli,5w,5,Short,Outside-off,Pull,,,,,
4,3,archer,kohli,â€¢,0,Length,,,Point,,,Slower,
4,1,archer,kohli,1,1,Short,Outside-off,,Third-man,,,,
3,1,wood,kohli,1,1,Short,Outside-off,,Cover,,,,
2,5,rashid,kohli,1,1,Length,Outside-off,,Long-on,,,,
2,2,rashid,kohli,1,1,Full,Outside-off,,Long-on,,,Slower,
2,1,rashid,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
1,5,archer,kohli,1,1,Short,Outside-off,Hook,Deep-square-leg,,,,
1,4,archer,kohli,â€¢,0,Good,Outside-off,,Off-side,,,,
1,3,archer,kohli,4,4,Short,Outside-off,Drive,Cover,,,Slower,
0,6,rashid,kohli,â€¢,0,Length,Leg-stump,,,,,,
0,3,rashid,kohli,1lb,0,Short,Leg-stump,,Leg-side,,Googly,,
19,6,cummins,kohli,6,6,Full,Outside-off,,Long-off,,,Slower,
19,2,cummins,kohli,1,1,,,Hook,Mid-on,,,Slower,
18,6,jhye richardson,kohli,4,4,Full,Outside-off,,,,,,
18,5,jhye richardson,kohli,2,2,,,Drive,Backward-point,,,,
18,3,jhye richardson,kohli,1,1,,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,,,Long-off,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,Outside-off,,,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,,,,,,,
18,1,jhye richardson,kohli,â€¢,0,Full,Outside-off,,Cover,,,Slower,
17,4,djm short,kohli,1,1,Short,,,Long-off,,,,
17,1,djm short,kohli,1,1,Short,Leg-stump,,Midwicket,,,Slow,
16,5,zampa,kohli,1,1,Good,Leg-stump,,Midwicket,,,,
16,4,zampa,kohli,â€¢,0,Length,Outside-off,,Backward-point,,,,
16,3,zampa,kohli,â€¢,0,Yorker,Leg-stump,,,,,,
16,1,zampa,kohli,1,1,Good,,,Midwicket,,,,
15,6,coulter-nile,kohli,1,1,,,,Midwicket,,,,
15,5,coulter-nile,kohli,6,6,Length,Outside-off,,Square-leg,,,,
15,4,coulter-nile,kohli,6,6,Length,Outside-off,,Extra-cover,,,,
15,3,coulter-nile,kohli,6,6,Length,,,Midwicket,,,Slower,
14,6,jhye richardson,kohli,â€¢,0,Good,Outside-off,Off-drive,,,,Slower,
14,5,jhye richardson,kohli,2,2,Good,,,Third-man,,,,Dive
14,4,jhye richardson,kohli,6,6,Length,,,Long-off,,,,
14,1,jhye richardson,kohli,1,1,Good,,,Third-man,,,Slower,
13,6,cummins,kohli,1,1,Good,,,Deep-point,,,,
13,2,cummins,kohli,1,1,Good,,,Long-leg,,,Pace,
13,1,cummins,kohli,2,2,Length,Outside-off,,Cover,,,,
12,6,djm short,kohli,1,1,Short,,Pull,Deep-square-leg,,,,
12,1,djm short,kohli,1,1,Short,,Pull,Long-on,,,,
11,6,zampa,kohli,1,1,,Outside-off,,Cover,,,,
11,5,zampa,kohli,4,4,Short,,,Backward-point,,,,
11,1,zampa,kohli,1,1,Short,,,Long-on,,,,
10,1,djm short,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,,
9,6,behrendorff,kohli,1,1,Length,,,Point,,,,
9,3,behrendorff,kohli,1,1,,Outside-off,,Third-man,,,,
8,6,zampa,kohli,2,2,Good,,Cut,Midwicket,,Slider,,Throw
8,4,zampa,kohli,1,1,Length,,,Long-on,,,,
8,3,zampa,kohli,â€¢,0,Length,,,Midwicket,,,,
8,2,zampa,kohli,â€¢,0,Length,Outside-off,,Off-side,,,,
7,5,coulter-nile,kohli,1,1,Length,Outside-off,Cut,Off-side,,,,
7,2,coulter-nile,kohli,1,1,Full,Outside-off,,Slip,Outside-edge,,,
2,4,willey,kohli,W,0,Good,,,Cover,,,Slow,Catch
2,3,willey,kohli,6,6,,Leg-stump,,,,,,
2,2,willey,kohli,4,4,Length,,,Mid-on,,,,
2,1,willey,kohli,â€¢,0,Yorker,,,,,,,
1,3,topley,kohli,1,1,Length,,Glance,Deep-square-leg,,,,
1,2,topley,kohli,â€¢,0,Good,,,Cover,,,,
18,5,bennett,kohli,W,0,,Outside-off,Drive,Extra-cover,,,Slower,Catch
18,4,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
18,3,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
17,5,southee,kohli,1,1,Good,Leg-stump,,Short-fine-leg,,,,
17,4,southee,kohli,2,2,,,,Deep-square-leg,,,,Stop
17,2,southee,kohli,1,1,,,,Off-side,,,,
17,1,southee,kohli,2,2,Good,,,Backward-square-leg,,,,
16,5,santner,kohli,1,1,,Leg-stump,,Square-leg,,,,
16,1,santner,kohli,1,1,Good,,,Long-on,,,,
15,6,sodhi,kohli,1,1,Full,Outside-off,,Long-on,,,,
15,4,sodhi,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slow,
14,6,santner,kohli,4,4,Full,,,Long-on,,,,
14,3,santner,kohli,1,1,Length,Leg-stump,,Midwicket,,,,
14,2,santner,kohli,6,6,Full,Outside-off,,Extra-cover,,,,
13,6,sodhi,kohli,2,2,,,Cut,Cover,,,,
13,5,sodhi,kohli,â€¢,0,,,,,,Googly,,
13,3,sodhi,kohli,1,1,,,,Short-fine-leg,,,,
13,2,sodhi,kohli,â€¢,0,,Outside-off,,Extra-cover,,,Slower,
13,1,sodhi,kohli,4,4,,,,Short-fine-leg,,,,
12,6,de grandhomme,kohli,1,1,Full,Outside-off,,Long-on,,,,
12,4,de grandhomme,kohli,1,1,Length,Outside-off,,Short-third-man,,,,
12,3,de grandhomme,kohli,2,2,Full,,Drive,Cover,,,,Stop
12,1,de grandhomme,kohli,1lb,0,,,,Square-leg,,,Slower,
11,6,sodhi,kohli,1,1,,Outside-off,Drive,Long-off,,,,
11,5,sodhi,kohli,â€¢,0,Short,Outside-off,,Extra-cover,,,,Throw
11,4,sodhi,kohli,â€¢,0,Length,Leg-stump,,Cover,,,,
11,1,sodhi,kohli,1,1,,Leg-stump,,Long-on,,,,
13,4,chase,kohli,W,0,,Middle-stump,,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,Cut,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,,,,,,
13,3,chase,kohli,1w,1,,,Cut,Leg-side,,,,Bowled
13,3,chase,kohli,1w,1,,,,Leg-side,,,,
13,2,chase,kohli,6,6,,,,Long-on,,,,
12,6,smith,kohli,â€¢,0,Short,,,,,,,
12,5,smith,kohli,â€¢,0,Short,Outside-off,,Point,,,,
12,5,smith,kohli,â€¢,0,,,,Slip,,,,
12,5,smith,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
12,5,smith,kohli,1w,1,,,,Leg-side,,,,
12,3,smith,kohli,1,1,Short,,,Deep-square,,,,
12,3,smith,kohli,1,1,Short,,,Slip,,,,
12,3,smith,kohli,1w,1,,,,Leg-side,,,,
12,2,smith,kohli,4,4,,,,Third-man,,,Pace,
12,1,smith,kohli,2,2,Short,,,Leg-side,,,,
11,5,chase,kohli,1lb,0,Length,Outside-off,,,,,,
11,4,chase,kohli,â€¢,0,Short,,,,,,,
11,2,chase,kohli,1,1,Full,,,Short-fine-leg,,,,
11,1,chase,kohli,â€¢,0,Yorker,,,Off-side,,,,
10,4,holder,kohli,1,1,,,Pull,Slip,,,Slower,
10,1,holder,kohli,1,1,Length,,,Long-on,,,,
9,4,chase,kohli,1,1,,,,Short-third-man,,,Pace,
9,3,chase,kohli,â€¢,0,Full,Outside-off,,Extra-cover,,,,
9,1,chase,kohli,1,1,Full,,,Long-on,,,,
8,5,hosein,kohli,1,1,Short,,,Long-on,,,,
8,1,hosein,kohli,1,1,Length,,,Leg-side,,,,
7,6,chase,kohli,1,1,,,,Long-on,,,,
7,4,chase,kohli,1,1,,,,Leg-side,,,,
7,3,chase,kohli,â€¢,0,Short,,,,,,,
7,1,chase,kohli,1,1,Short,Outside-off,,Midwicket,,,,
6,5,hosein,kohli,1,1,,,,Point,,,,Misfield
6,3,hosein,kohli,1,1,Length,Outside-off,,Off-side,,,,
6,2,hosein,kohli,â€¢,0,Length,Outside-off,Cut,Point,,,,
6,1,hosein,kohli,4,4,Short,Outside-off,,Extra-cover,,,,
5,5,shepherd,kohli,1,1,Full,Outside-off,,Mid-off,,,,
5,4,shepherd,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
5,3,shepherd,kohli,4,4,Short,Outside-off,Drive,Extra-cover,,,,
5,2,shepherd,kohli,4,4,,,,Mid-on,,,,
5,1,shepherd,kohli,â€¢,0,Full,Outside-off,,,Outside-edge,,,
4,4,holder,kohli,1,1,Length,Outside-off,,Leg-side,Inside-edge,,,
4,2,holder,kohli,1,1,Length,,,Deep-square-leg,,,,
4,1,holder,kohli,4,4,Short,,,Cover,,,,
2,6,hosein,kohli,4,4,Full,Leg-stump,,Long-leg,,,,
2,5,hosein,kohli,â€¢,0,,,,Midwicket,,,,
2,4,hosein,kohli,â€¢,0,,,,,Outside-edge,,Slower,
2,3,hosein,kohli,â€¢,0,,,,Off-side,,,,
2,2,hosein,kohli,4,4,Good,,,Short-leg,,,Pace,
2,1,hosein,kohli,â€¢,0,,,,Mid-on,,Slider,,
14,5,jordan,kohli,W,0,Full,,,,,,,Catch
14,1,jordan,kohli,1,1,Short,,Pull,Midwicket,,,Slower,
14,1,jordan,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slower,
14,1,jordan,kohli,1w,1,Full,Outside-off,,,,,Slower,
14,1,jordan,kohli,1w,1,Full,Outside-off,,,,,,
13,5,plunkett,kohli,1,1,Full,Outside-off,,Long-on,,,,
13,3,plunkett,kohli,1,1,Short,Outside-off,,Midwicket,,,,
13,2,plunkett,kohli,6,6,Full,Outside-off,Drive,Extra-cover,,,,
13,1,plunkett,kohli,â€¢,0,,,,Cover,,,,
12,4,jordan,kohli,1,1,Full,,,Long-on,,,,
12,2,jordan,kohli,1,1,,,,Midwicket,,,Slower,
11,5,rashid,kohli,1,1,,Leg-stump,,,,Googly,,
11,4,rashid,kohli,â€¢,0,,,,Midwicket,,,,
11,3,rashid,kohli,6,6,,Outside-off,,Long-on,,,,
11,2,rashid,kohli,â€¢,0,,,,Cover,,,,
10,3,plunkett,kohli,1,1,Short,,,Deep-square,,,Pace,
10,2,plunkett,kohli,2,2,Short,,Pull,Deep-square,,,,
10,1,plunkett,kohli,2,2,Full,,,Long-leg,Inside-edge,,Slower,
9,3,rashid,kohli,1,1,,,,Midwicket,,,,
9,2,rashid,kohli,2,2,Full,,,Long-off,,,,
9,1,rashid,kohli,4,4,Short,,Square-cut,Backward-point,,,,
8,6,stokes,kohli,1,1,Full,,,Midwicket,,,,
8,4,stokes,kohli,1,1,Good,,,Fine-leg,,,,
8,1,stokes,kohli,1,1,Full,Outside-off,,Third-man,,,,
7,6,rashid,kohli,1,1,Length,Outside-off,,Deep-cover,,,,
7,3,rashid,kohli,1,1,Short,,,Cover,,,,
6,6,stokes,kohli,â€¢,0,Good,Middle-stump,,Midwicket,,,,
6,2,stokes,kohli,1,1,,,Cover-drive,Deep-cover,,,,
6,1,stokes,kohli,â€¢,0,Full,Outside-off,Square-drive,Backward-point,,,,Stop
5,6,ball,kohli,1,1,Short,Outside-off,,Third-man,,,,
5,5,ball,kohli,4,4,,Outside-off,,Midwicket,,,,Misfield
5,4,ball,kohli,2,2,Good,Outside-off,,Third-man,,,,
16,3,santner,kohli,W,0,,,,Long-on,Thick-edge,,,
15,3,sodhi,kohli,1,1,,Outside-off,,Cover,,,,
15,1,sodhi,kohli,1,1,Good,,,Long-off,,,,
14,6,milne,kohli,1,1,Yorker,Leg-stump,,Third-man,,,,Bowled
14,5,milne,kohli,4,4,Good,Outside-off,Drive,Long-off,,,,Dive
14,4,milne,kohli,â€¢,0,,,,,,,Slower,
12,5,munro,kohli,1,1,Short,,,Midwicket,,,Pace,
12,4,munro,kohli,2,2,Length,,Pull,Midwicket,,,Slower,
12,3,munro,kohli,4,4,Yorker,,,Midwicket,,,,
12,1,munro,kohli,1,1,Good,,,Short-third-man,,,,
11,6,santner,kohli,1,1,Full,,,Cover,,,,
